count,lang,category,raw_token,norm_token,pred_token
151,sr,over_normalized,da,da,да
89,sr,over_normalized,i,i,и
75,sr,over_normalized,je,je,је
69,sr,over_normalized,u,u,у
51,sr,over_normalized,na,na,на
49,sr,over_normalized,se,se,се
45,ja,missed_change,ん,の,ん
45,sr,over_normalized,ne,ne,не
33,sr,over_normalized,za,za,за
29,th,over_normalized,_,_,ที่
26,hr,over_normalized,a,a,i
26,sr,over_normalized,sa,sa,са
25,hr,over_normalized,kad,kad,kada
25,hr,over_normalized,mi,mi,me
24,en,over_normalized,rt,rt,retweet
24,ja,missed_change,、,。,、
24,sl,over_normalized,ne,ne,ni
21,en,over_normalized,:,:,：
19,sr,over_normalized,ali,ali,али
18,ja,missed_change,…,… 。,…
18,sr,over_normalized,ja,ja,ја
18,sr,over_normalized,od,od,од
17,de,missed_change,ich,Ich,ich
16,sr,over_normalized,a,a,а
15,sr,over_normalized,mi,mi,ми
14,en,over_normalized,i,i,I
14,ja,wrong_correction,…,… 。,……
14,ja,missed_change,です,です 。,です
14,ja,wrong_correction,て,て い,で
14,sl,missed_change,se,še,se
14,sr,over_normalized,koji,koji,који
14,th,missed_change,อ่ะ,อะ,อ่ะ
13,hr,over_normalized,je,je,bio
13,ja,missed_change,て,て い,て
13,sr,over_normalized,je,je,jeste
13,th,over_normalized,_,_,ขึ้น
12,sr,over_normalized,pa,pa,па
12,th,over_normalized,_,_,ได้
12,vi,wrong_correction,t,tao,tôi
11,hr,over_normalized,je,je,jedan
11,hr,over_normalized,s,s,sa
11,ja,missed_change,って,と,って
11,sr,over_normalized,kad,kad,кад
11,sr,over_normalized,što,što,што
11,th,over_normalized,ละ,ละ,เลย
11,th,over_normalized,_,_,_____
10,ja,missed_change,ね,ね 。,ね
10,ja,wrong_correction,って,は,と
10,sl,over_normalized,in,in,v
10,sl,over_normalized,sam,sam,samo
10,sr,over_normalized,li,li,ли
9,de,missed_change,ja,Ja,ja
9,hr,over_normalized,što,što,sto
9,hr,over_normalized,koji,koji,što
9,ja,over_normalized,…,…,……
9,ja,wrong_correction,ん,の,んです
9,sr,over_normalized,to,to,то
9,sr,over_normalized,šta,šta,шта
9,sr,over_normalized,tviter,tviter,твитер
9,sr,over_normalized,po,po,по
9,th,wrong_correction,หรอ,เหรอ,หรือ
8,hr,over_normalized,se,se,sebe
8,hr,over_normalized,sa,sa,s
8,hr,over_normalized,to,to,to je
8,sl,over_normalized,pa,pa,po
8,sr,over_normalized,sam,sam,сама
8,sr,over_normalized,koliko,koliko,Koliko
8,sr,over_normalized,su,su,су
8,sr,over_normalized,mi,mi,me
8,sr,over_normalized,mi,mi,мне
8,sr,over_normalized,ne,ne,nego
7,hr,over_normalized,sam,sam,bio
7,hr,over_normalized,svi,svi,sve
7,hr,over_normalized,ne,ne,nije
7,hr,over_normalized,meni,meni,me
7,ja,over_normalized,て,て,で
7,ja,missed_change,って,は,って
7,sl,wrong_correction,k,ki,ka
7,sl,over_normalized,..,..,...
7,sr,over_normalized,ime,ime,име
7,sr,over_normalized,mene,mene,мене
7,sr,over_normalized,iz,iz,из
7,sr,over_normalized,sam,sam,сам
7,sr,over_normalized,dana,dana,дана
7,th,over_normalized,เลย,เลย,แล้ว
7,th,wrong_correction,ละ,แล้ว,เลย
7,th,over_normalized,_,_,ให้
7,vi,wrong_correction,m,mình,mày
6,en,over_normalized,",",",",，
